script_name,point_index,axis,v_percent,a_percent,t_rel_sec,x_mm,y_mm,z_mm,rx_deg,ry_deg,rz_deg
x_calibrate,10,x,45,100,0.09005119599896716,-100.02039337158203,-450.017333984375,499.9271240234375,-169.89788818359375,-0.0021765129640698433,171.994384765625
x_calibrate,10,x,45,100,0.10006899300060468,-100.02207946777344,-450.0180969238281,499.92877197265625,-169.8978271484375,-0.0022425700444728136,171.9943084716797
x_calibrate,10,x,45,100,0.1100440090012853,-100.022705078125,-450.0184631347656,499.9294128417969,-169.8978271484375,-0.002251109341159463,171.9943084716797
x_calibrate,10,x,45,100,0.1201277209984255,-100.02294158935547,-450.018798828125,499.9304504394531,-169.89776611328125,-0.0022781924344599247,171.99432373046875
x_calibrate,10,x,45,100,0.13002917699486716,-100.02326202392578,-450.01910400390625,499.9309997558594,-169.89776611328125,-0.0022922647185623646,171.9943389892578
x_calibrate,10,x,45,100,0.14009524599532597,-100.02350616455078,-450.0192565917969,499.931884765625,-169.8977508544922,-0.0023144169244915247,171.99435424804688
x_calibrate,10,x,45,100,0.15012620700144907,-100.02378845214844,-450.0196533203125,499.9335021972656,-169.89772033691406,-0.0023247466888278723,171.994384765625
x_calibrate,10,x,45,100,0.16003992699552327,-100.02456665039062,-450.02044677734375,499.9356384277344,-169.89759826660156,-0.0023954662028700113,171.99440002441406
x_calibrate,10,x,45,100,0.17014192399801686,-100.02603149414062,-450.021728515625,499.9385070800781,-169.89732360839844,-0.0025685708969831467,171.994384765625
x_calibrate,10,x,45,100,0.18011893299990334,-100.03374481201172,-450.0265808105469,499.949462890625,-169.89620971679688,-0.003256025491282344,171.99415588378906
x_calibrate,10,x,45,100,0.19008550299622584,-100.09821319580078,-450.04931640625,500.0004577636719,-169.89096069335938,-0.006935174111276865,171.9927215576172
x_calibrate,10,x,45,100,0.20009450300130993,-100.14347076416016,-450.0546569824219,500.01544189453125,-169.8896026611328,-0.008421425707638264,171.99240112304688
x_calibrate,10,x,45,100,0.210089476997382,-100.20255279541016,-450.05706787109375,500.0240478515625,-169.88909912109375,-0.009692167863249779,171.99203491210938
x_calibrate,10,x,45,100,0.22009174499544315,-100.27881622314453,-450.0563049316406,500.0262451171875,-169.8893585205078,-0.010648487135767937,171.99143981933594
x_calibrate,10,x,45,100,0.23006925499794306,-100.374267578125,-450.0535888671875,500.0229187011719,-169.8902130126953,-0.011374609544873238,171.9912567138672
x_calibrate,10,x,45,100,0.24005927999678534,-100.64511108398438,-450.0464172363281,500.0086364746094,-169.89230346679688,-0.011663973331451416,171.99073791503906
x_calibrate,10,x,45,100,0.25008412999886787,-100.83702087402344,-450.0430603027344,500.0018615722656,-169.89315795898438,-0.011346427723765373,171.9903564453125
x_calibrate,10,x,45,100,0.2600134390013409,-101.07650756835938,-450.04071044921875,499.9964904785156,-169.89378356933594,-0.011073154397308826,171.99032592773438
x_calibrate,10,x,45,100,0.2700527269989834,-101.37294006347656,-450.038818359375,499.9923095703125,-169.89434814453125,-0.010822106152772903,171.9903564453125
x_calibrate,10,x,45,100,0.28008167499501724,-102.40103149414062,-450.0354919433594,499.9836120605469,-169.89540100097656,-0.010278451256453991,171.99050903320312
x_calibrate,10,x,45,100,0.29002098299679346,-102.94624328613281,-450.0327453613281,499.979248046875,-169.89598083496094,-0.010035734623670578,171.99066162109375
x_calibrate,10,x,45,100,0.3000025619985536,-103.58213806152344,-450.03076171875,499.9747619628906,-169.8965301513672,-0.009729537181556225,171.99063110351562
x_calibrate,10,x,45,100,0.31026596399897244,-104.31745147705078,-450.0296936035156,499.970703125,-169.89706420898438,-0.009461561217904091,171.99075317382812
x_calibrate,10,x,45,100,0.3200416619947646,-105.16272735595703,-450.028564453125,499.9685363769531,-169.89736938476562,-0.00929802842438221,171.99075317382812
x_calibrate,10,x,45,100,0.3300719629987725,-107.21873474121094,-450.025634765625,499.96466064453125,-169.8981475830078,-0.009125287644565105,171.99148559570312
x_calibrate,10,x,45,100,0.34004115800053114,-107.81493377685547,-450.0252380371094,499.96588134765625,-169.8980712890625,-0.009120053611695766,171.9914093017578
x_calibrate,10,x,45,100,0.350073411995254,-109.1161117553711,-450.0244445800781,499.96527099609375,-169.89837646484375,-0.008916154503822327,171.9912872314453
x_calibrate,10,x,45,100,0.3600079409952741,-110.5672836303711,-450.0232238769531,499.96600341796875,-169.89865112304688,-0.00896306149661541,171.9916229248047
x_calibrate,10,x,45,100,0.3700132649973966,-114.91587829589844,-450.0179443359375,499.96954345703125,-169.89935302734375,-0.009208871982991695,171.9910888671875
x_calibrate,10,x,45,100,0.3800992709948332,-116.9647216796875,-450.0191955566406,499.9675598144531,-169.89996337890625,-0.008907935582101345,171.99163818359375
x_calibrate,10,x,45,100,0.39006643199536484,-119.203857421875,-450.01953125,499.96649169921875,-169.90048217773438,-0.008520535193383694,171.99154663085938
