epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
69,854.719,0.51536,0.40768,1.84941,0.87196,0,0.19924,1,0.22124,0.1986,0.19924,1,0.22124,0.21308,0.43829,0.31718,2.21852,0.79102,0,0.000317,0.000317,0.000317
70,866.746,0.45828,0.38748,1.945,0.833,0,0.19931,1,0.22073,0.20116,0.19931,1,0.22073,0.21379,0.42278,0.31535,2.19569,0.7888,0,0.00029225,0.00029225,0.00029225
71,878.253,0.41332,0.26074,2.30168,0.83879,0,0.19931,1,0.22073,0.20116,0.19931,1,0.22073,0.21379,0.42278,0.31535,2.19569,0.7888,0,0.0002675,0.0002675,0.0002675
72,889.901,0.3687,0.2957,2.35155,0.82262,0,0.19935,1,0.22617,0.20588,0.19935,1,0.22617,0.21835,0.40731,0.3212,2.17478,0.78658,0,0.00024275,0.00024275,0.00024275
73,901.762,0.4325,0.31069,2.2991,0.83026,0,0.19935,1,0.22617,0.20588,0.19935,1,0.22617,0.21835,0.40731,0.3212,2.17478,0.78658,0,0.000218,0.000218,0.000218
74,913.481,0.41819,0.2922,2.26449,0.80833,0,0.19935,1,0.22756,0.20993,0.19935,1,0.22756,0.2182,0.38051,0.32308,2.17272,0.78177,0,0.00019325,0.00019325,0.00019325
75,925.13,0.42779,0.34992,2.21058,0.82046,0,0.19935,1,0.22756,0.20993,0.19935,1,0.22756,0.2182,0.38051,0.32308,2.17272,0.78177,0,0.0001685,0.0001685,0.0001685
76,936.868,0.38134,0.36331,2.26233,0.82404,0,0.19936,1,0.22601,0.2134,0.19936,1,0.22601,0.21687,0.3621,0.3153,2.16315,0.78023,0,0.00014375,0.00014375,0.00014375
77,948.592,0.37008,0.28381,2.18267,0.82334,0,0.19936,1,0.22601,0.2134,0.19936,1,0.22601,0.21687,0.3621,0.3153,2.16315,0.78023,0,0.000119,0.000119,0.000119
78,960.368,0.38078,0.26344,2.23437,0.81743,0,0.19936,1,0.22215,0.20949,0.19936,1,0.22215,0.21448,0.35173,0.30683,2.15896,0.77895,0,9.425e-05,9.425e-05,9.425e-05
79,972.327,0.38269,0.31026,2.17776,0.83858,0,0.19936,1,0.22215,0.20949,0.19936,1,0.22215,0.21448,0.35173,0.30683,2.15896,0.77895,0,6.95e-05,6.95e-05,6.95e-05
80,984.063,0.38276,0.2773,2.10241,0.82752,0,0.19937,1,0.2167,0.20453,0.19937,1,0.2167,0.20974,0.34207,0.30032,2.15233,0.77758,0,4.475e-05,4.475e-05,4.475e-05
